1,2020-02-15,3
1,2020-02-16,3
1,2020-02-17,3
1,2020-02-18,3
1,2020-02-19,3
1,2020-02-20,4
1,2020-02-21,21
1,2020-02-22,79
1,2020-02-23,157
1,2020-02-24,229
1,2020-02-25,323
1,2020-02-26,470
1,2020-02-27,655
1,2020-02-28,889
1,2020-02-29,1128
1,2020-03-01,1701
1,2020-03-02,2036
1,2020-03-03,2502
1,2020-03-04,3809
1,2020-03-05,3858
1,2020-03-06,4636
1,2020-03-07,5883
1,2020-03-08,7375
1,2020-03-09,9172
1,2020-03-10,10149
1,2020-03-11,12462
1,2020-03-12,15113
1,2020-03-13,17660
1,2020-03-14,21157
1,2020-03-15,24747
1,2020-03-16,27980
1,2020-03-17,31506
1,2020-03-18,35713
1,2020-03-19,41035
1,2020-03-20,47021
1,2020-03-21,53578
